stock1,stock2,hedge_ratio,pvalue,test_stat
EIX,GDDY,-0.01893348625849947,3.3555038840150306e-09,-7.170285347855713
EIX,ZTS,-0.0559380048849422,3.487113579646923e-09,-7.163348242736041
EIX,FOXA,0.07392402058701518,3.5181027767957472e-09,-7.161752457428891
EIX,XEL,0.10326514594242417,3.766970454142733e-09,-7.149418871233174
EIX,EXPE,0.02671782473664788,3.931761194203306e-09,-7.1416874488495035
EIX,STX,0.007506872560097729,3.986926147413086e-09,-7.139170657429814
EIX,INTC,0.11172763769347008,4.056472037881466e-09,-7.136046333528966
EIX,FOX,0.09473967277535339,4.064616403680576e-09,-7.135683917011088
EIX,STLD,0.04536375169521183,4.240550412166598e-09,-7.128025307630109
EIX,NEE,0.11335293756954906,4.3515987162214884e-09,-7.123351177322277
EIX,ROP,-0.031003401096366994,4.36131427274131e-09,-7.122947860313225
EIX,ETR,0.06288017140893074,4.400275857302532e-09,-7.121339332528701
EIX,IVZ,0.1578400171039241,4.541730516690261e-09,-7.115615328148302
EIX,LVS,0.09223138302969351,4.5759746211067716e-09,-7.114256108477447
EIX,MCK,0.005020519619382416,4.589011954713743e-09,-7.113741268053647
EIX,MCD,0.046727477656599244,4.643490596675084e-09,-7.111605436490991
EIX,LDOS,0.027988684203667055,4.757754019932011e-09,-7.107204992671253
EIX,GD,0.013995172229555937,4.894872703691847e-09,-7.102060090089333
EIX,LMT,0.03932680471549139,4.9948399712260175e-09,-7.0983980877903345
EIX,UDR,-0.2126266784329357,5.213612385548812e-09,-7.090630219808068
EIX,PH,0.00576204003657127,5.276224616113477e-09,-7.088466260735269
EIX,XOM,0.16532114171915843,5.2896991494796295e-09,-7.0880038798222715
EIX,MCHP,-0.1329817830171682,5.338333407934192e-09,-7.086344605631076
EIX,EQR,-0.17631482537570284,5.492940490074726e-09,-7.081167234546372
EIX,LYB,-0.03553471247209689,5.630061106166502e-09,-7.076694427130354
EIX,SYK,-0.1144423499970912,5.6399398961417635e-09,-7.076376351259621
EIX,WELL,0.016453054978054438,5.848800794165388e-09,-7.069777177518354
EIX,MOS,-0.39937124183714356,6.027097740872925e-09,-7.06432521925198
EIX,TMO,0.02360047811276579,6.1541515741301244e-09,-7.060536461605041
EIX,WDAY,-0.03106776061600195,6.24980122335956e-09,-7.0577347784108255
EIX,MDLZ,-0.36668451530070695,6.268318650813514e-09,-7.057197275574358
EIX,FFIV,-0.0609182489973307,6.440540799953858e-09,-7.052271975153895
EIX,PAYX,-0.08286693849512679,6.5013977532513575e-09,-7.050562585984451
EIX,FDS,-0.009600949792879333,6.513197401530123e-09,-7.05023297844204
EIX,PEP,0.15925422189171837,6.740972703408055e-09,-7.043983294054952
EIX,EFX,-0.051859900877108504,6.808433088354351e-09,-7.042172290390253
EIX,REGN,0.024069793948375415,7.785454086404194e-09,-7.0177614631048035
EIX,GEN,-0.7644386082015059,7.853757962973948e-09,-7.016169826125975
