stock1,stock2,signal,z_score,edge,p_target,p_stop,hedge_ratio,weight,kelly_weight,capital_allocation,risk_dollars,risk_pct,shares1,shares2,price1,price2,hedge_error,win_loss_ratio,expected_profit,expected_loss,theta,volatility
HAL,SNA,SHORT_SPREAD,1.7874361450541514,0.2676210710226337,0.592073970387393,0.407926029612607,0.1824445723680731,0.0076395593539639,0.0076395593539639,699.1160575172224,474.2674943120525,67.83816352270942,5,5,32.3,181.25,2.3227195861982954,1.0617470905164383,2.2601409423090173,2.128699915918465,0.1389574758267164,0.8952997435051239
CCL,TRMB,SHORT_SPREAD,1.881877124065734,0.2595532505438354,0.5510704505912406,0.4489295494087594,0.5566439094608563,0.0107143605809291,0.0107143605809291,697.4300600008497,414.3801391062124,59.415296654363814,12,17,31.68,40.295,0.3014422293318476,1.2358902172635395,2.314955315264222,1.8731075648368727,0.0634068998500452,0.6144353278081408
EQR,MKC,LONG_SPREAD,-1.516049131561734,0.2123707658779791,0.6785286537264981,0.3214713462735019,0.6553554038787258,0.0130896187453378,0.0130896187453378,657.3491520533745,643.4315516225348,97.88276893833894,13,9,30.22,67.9,1.9045997048042946,0.6846918945713079,1.960494355034079,2.863323446031975,0.0869537733310771,0.7726811504495297
HPE,RJF,LONG_SPREAD,-0.9094441933637688,0.1831478848061786,0.909481476576964,0.0905185234230361,0.2555982310815918,0.0187251475500081,0.0187251475500081,693.8125313492154,693.8125313492154,100.0,10,10,22.1,83.865,3.0988161606261277,0.19585422788716514,0.5969232878758276,3.0477937306501497,0.0839792541952727,0.5761265341410566
HBAN,MTB,LONG_SPREAD,-0.6675711391734894,0.1675711391734891,1.0,1.1102230246251563e-16,0.0966482874288091,0.0016845042908798,0.0016845042908798,758.3354926117156,758.3354926117156,100.0,11,5,9.07,211.685,2.4683166525885936,0.07184405148978887,0.043841569158787924,0.6102324165977623,0.1215451335855698,0.1244735198160105
CAG,PG,SHORT_SPREAD,0.788385009996778,0.1534008760986548,0.9460063464407508,0.0539936535592492,0.3389479606411976,0.0084666431161351,0.0084666431161351,742.8603270585247,742.8603270585247,100.0,17,6,16.84,141.38,0.43223568921276184,0.13039566619882506,0.42875331674614076,3.2880948366212195,0.0964107893859218,0.5652695223121326
DVN,MET,SHORT_SPREAD,0.9394050174958268,0.1371768203788854,0.8791087211532235,0.1208912788467765,0.399229284233745,0.0009496601453468,0.0009496601453468,657.2640337321596,657.2640337321596,100.0,8,9,36.120000000000005,79.43,1.2484227585351255,0.21324181667269343,0.7769894215269931,3.643701004102776,0.0869830111293048,0.7197867076691734
IP,POOL,SHORT_SPREAD,1.2129996344789684,0.1015840687815366,0.7554337737210273,0.2445662262789727,0.148971708672683,3.710190335941891e-05,3.710190335941891e-05,660.7669800283123,660.7669800283123,100.0,3,8,43.06,110.0,1.4608506182942769,0.3989924390816119,1.7858021520723162,4.475779431266464,0.1017968177770703,1.1115966512480862
MRNA,UNP,SHORT_SPREAD,1.8899552380408813,0.1013648446702318,0.4845638426517402,0.5154361573482598,0.3166020230201209,0.0155250992006092,0.0155250992006092,745.2436400525428,437.71078932070344,58.73391811701244,8,8,34.215,108.06,0.008726152142704616,1.2521614313892606,4.061644331393393,3.243706625660111,0.1105450762449241,1.2996901032529022
FOXA,STLD,SHORT_SPREAD,1.2738545300561936,0.0828577880379036,0.723601303192684,0.276398696807316,0.379741088632861,0.0003804435569764,0.0003804435569764,695.2824592809654,695.2824592809654,100.0,4,9,75.045,84.635,3.777129587178101,0.44831362334797076,2.2509221540385798,5.020864940995705,0.1005167240831022,1.2589865865840144
