phase,symbol,action,side,qty,status,order_id,pair,edge
Open/Add,SWKS,OPEN,buy,8,success,932aadbe-7116-4004-b3eb-ad612913780a,SWKS/SYY,0.0181480836346162
Open/Add,SYY,OPEN,sell,18,success,15cdb9d6-3123-4b1b-8dd0-04a0e27e5a00,SWKS/SYY,0.0181480836346162
Open/Add,KMB,OPEN,buy,2,success,1e68700d-08b6-457a-9c6e-ddd150052b94,KMB/TYL,0.0147256245303428
Open/Add,TYL,OPEN,sell,4,success,6e17a139-c847-4838-8e7b-4ec89bd7e482,KMB/TYL,0.0147256245303428
Open/Add,KVUE,OPEN,buy,27,success,ac7970e2-c053-40dd-ac80-2118c3ac60b2,KVUE/KDP,0.0140022622793161
Open/Add,KDP,OPEN,sell,20,success,d2b510cf-9c8c-4eed-8f04-4460f1a70a0d,KVUE/KDP,0.0140022622793161
Open/Add,LDOS,OPEN,sell,4,success,c5694d57-4c9e-4d5e-8c4a-51340d7d8a9f,LDOS/TEL,0.0125504669018606
Open/Add,TEL,OPEN,buy,6,success,c1c235b5-6442-429a-8b90-cefeec936847,LDOS/TEL,0.0125504669018606
Open/Add,DELL,OPEN,buy,12,success,8926a112-b78a-475e-be13-47f8d14f81e2,DELL/XYL,0.0116204703237681
Open/Add,XYL,OPEN,sell,6,success,8681b48e-1282-4e16-a03a-7c2134f63ea8,DELL/XYL,0.0116204703237681
Open/Add,HAS,OPEN,sell,6,success,f802cbf6-248c-4aa8-9c3a-dde7371a8b33,HAS/HUBB,0.0112503351935262
Open/Add,HUBB,OPEN,buy,4,success,2f1180a6-0817-4692-a091-659257a281fe,HAS/HUBB,0.0112503351935262
Open/Add,AMT,OPEN,buy,11,success,e8d546c6-1574-4b83-897d-ff7fedea61d3,AMT/HRL,0.0103065920614898
Open/Add,HRL,OPEN,sell,19,success,5023498a-870c-42e2-b7c3-8aefd8909470,AMT/HRL,0.0103065920614898
Open/Add,MMM,OPEN,buy,8,success,68b8583d-ae5f-44f8-b623-58945dc8e6d5,MMM/XOM,0.0068867609103464
Open/Add,XOM,OPEN,sell,8,success,a3d98783-5da7-4822-83f1-7c500ca92ac2,MMM/XOM,0.0068867609103464
Open/Add,LOW,OPEN,sell,2,success,c7acf649-2d9f-4c6d-828d-5842ce6a4c30,LOW/SPG,0.0067194869168627
Open/Add,SPG,OPEN,buy,6,success,d4d95ccf-574e-4e73-a684-d37ab262ad58,LOW/SPG,0.0067194869168627
Open/Add,BX,OPEN,sell,11,success,a05a7cf1-f9db-43e3-b39d-7f1078c0a671,BX/TSCO,0.0059502727440243
Open/Add,TSCO,OPEN,buy,10,success,685bceb5-57cd-422f-b6f1-b6a721db60e5,BX/TSCO,0.0059502727440243
Open/Add,COR,OPEN,buy,2,success,fcb7a06b-0732-4e4d-9c8b-794c325ef8d8,COR/MCK,0.0058554091104383
Open/Add,MCK,OPEN,sell,2,success,9dcdf7d9-8222-4f26-b7ff-3cbf80555e6d,COR/MCK,0.0058554091104383
Open/Add,APO,OPEN,buy,5,success,781bac72-2aa4-4d16-93a1-7b1c113f2d97,APO/HSIC,0.0043806846268678
Open/Add,HSIC,OPEN,sell,10,success,6fed6567-dbe8-4d36-83ee-4d7ae929490a,APO/HSIC,0.0043806846268678
Open/Add,BIIB,OPEN,sell,8,success,22322097-0299-4750-b38c-9b32295c6922,BIIB/FOX,0.0040862028473598
Open/Add,FOX,OPEN,buy,8,success,c810a478-3be1-41a1-8bec-b030e6fd9919,BIIB/FOX,0.0040862028473598
