stock1,stock2,z_score,theta,volatility,edge,p_target,p_stop,signal,gain,loss,hedge_ratio,pvalue
KIM,OXY,-1.47715790102335,0.10576408545507567,0.26861053227530923,0.9500052937187712,0.9891389570781685,0.010861042921831543,LONG_SPREAD,0.97715790102335,1.52284209897665,0.1572150756010228,0.0222037365682757
DOC,ROL,-1.5419713410490912,0.1564799875610462,0.3972599142521292,0.9199376805431745,0.9511865357976333,0.04881346420236665,LONG_SPREAD,1.0419713410490912,1.4580286589509088,-0.2943355170554849,0.0008545389066819
KIM,MTCH,-1.4712739811023283,0.08631200639255605,0.27168768470021637,0.9082864640982383,0.974804993198364,0.025195006801636,LONG_SPREAD,0.9712739811023283,1.5287260188976717,0.1725128928131485,0.0499493484173191
F,MKC,1.5410762842359353,0.11559469901617808,0.3495797493594718,0.9037098499204819,0.9450534262738186,0.05494657372618139,SHORT_SPREAD,1.0410762842359353,1.4589237157640647,-0.2063255765824324,0.0114918536304535
KIM,VST,-1.5203577772322956,0.0859860047321405,0.2960959576189157,0.9007811474133499,0.9521693480724217,0.047830651927578294,LONG_SPREAD,1.0203577772322956,1.4796422227677044,0.0111447420891616,0.0499261988126521
KIM,MCD,-1.5726069593276832,0.09609327215869654,0.3320916907293765,0.8945704819631431,0.9287854090541839,0.07121459094581606,LONG_SPREAD,1.0726069593276832,1.4273930406723168,-0.0263056095336885,0.0349085303391143
AMCR,HII,1.3629204526796908,0.09156719971515892,0.1680855391068432,0.8628591074265574,0.9999754618987466,2.4538101253357425e-05,SHORT_SPREAD,0.8629204526796908,1.6370795473203092,-0.0117969486246308,0.0420671337245418
F,PWR,1.361273536533675,0.10433477988319656,0.24368974747840833,0.8537635264870173,0.9969959959813369,0.0030040040186630756,SHORT_SPREAD,0.861273536533675,1.638726463466325,0.0183598156917482,0.0204345417952649
KIM,PTC,-1.3938800823985966,0.09572606809563623,0.28061355597260473,0.8491552282033458,0.9821100583218997,0.01788994167810032,LONG_SPREAD,0.8938800823985966,1.6061199176014034,0.0227556660696275,0.0294139071812885
AES,MOH,1.6223735666800554,0.11257622008142001,0.3943850384537857,0.8415667662116197,0.8876772798126258,0.11232272018737421,SHORT_SPREAD,1.1223735666800554,1.3776264333199446,-0.0171400268496488,0.0437566446099414
CAG,PLTR,-1.8416405302462837,0.14641506848879918,0.48490763633013,0.8396589118889806,0.7992073526570788,0.20079264734292124,LONG_SPREAD,1.3416405302462837,1.1583594697537163,-0.082137424490441,0.0024386809200149
KIM,NKE,-1.3380589957036577,0.11536541306407001,0.2664643746443974,0.827512205804567,0.9957812840403637,0.004218715959636299,LONG_SPREAD,0.8380589957036577,1.6619410042963423,0.0807547467009235,0.0102502265027856
KMI,NOW,1.6888428820956358,0.11708580889062181,0.42104050985234404,0.8251110029060389,0.8545072483241613,0.14549275167583875,SHORT_SPREAD,1.1888428820956358,1.3111571179043642,0.0015279006855038,0.0024661777745412
AMCR,DGX,-1.3274355058320146,0.09159553225172164,0.2164602681003646,0.8239637626189034,0.9986113027147555,0.001388697285244489,LONG_SPREAD,0.8274355058320146,1.6725644941679854,-0.0511660294428314,0.0360907180265074
HST,USB,-1.3139606134835595,0.15117061002974105,0.2121139262585983,0.8139307193178383,0.9999880423337115,1.1957666288475721e-05,LONG_SPREAD,0.8139606134835595,1.6860393865164405,0.3184787170780997,0.0014705940821567
KIM,NVR,-1.3289400498167583,0.09878796302523583,0.2598412784083351,0.8117877670009959,0.993139086873695,0.0068609131263049905,LONG_SPREAD,0.8289400498167583,1.6710599501832417,0.0013352469879291,0.0287127922277986
AES,EVRG,1.7104201742884964,0.0909491708249174,0.3787068912652827,0.8115063770369338,0.840434481099375,0.15956551890062498,SHORT_SPREAD,1.2104201742884964,1.2895798257115036,0.250648614194529,0.0338749962407015
AES,D,1.797997805985174,0.10392129283654439,0.4179336482201837,0.8022309339759706,0.8016932511963186,0.19830674880368138,SHORT_SPREAD,1.297997805985174,1.202002194014826,0.3989334089268189,0.0378629996188879
KHC,TAP,-1.5981324829256112,0.09187159286929687,0.36989062510398596,0.7941468670219648,0.8784057536385415,0.12159424636145855,LONG_SPREAD,1.0981324829256112,1.4018675170743888,0.3482073212428997,0.0390712502017067
