n_pairs,div_factor,n_effective,avg_corr,portfolio_var_norm,portfolio_std_norm,weighted_avg_edge,edge_per_risk,diversification_eff,marginal_benefit
1650,109.70003935517087,15.041015570266747,0.06591876249555541,0.0664848723364672,0.2578466062147555,0.1808200949339885,0.7012700209185103,0.009115767012282876,0.2054544986793978
1700,112.3902944557608,15.125861251917586,0.06556226866142484,0.06611193791515341,0.2571224181497082,0.17744428385845326,0.6901159577424992,0.008897565442304462,0.0848456816508385
1750,115.35698277074289,15.170299690291824,0.065384209703112,0.06591827586899594,0.2567455469311901,0.1742090549537214,0.6785280486302294,0.008668742680166756,0.044438438374237776
1800,117.30561386889609,15.34453416706662,0.06465014667531745,0.06516978548272005,0.25528373524907544,0.17110279134817957,0.6702455649249955,0.0085247412039259,0.17423447677479587
1850,118.12201315576127,15.661771676380953,0.06334343599554422,0.06384973684095203,0.2526850546450107,0.16811506519644115,0.66531463616881,0.008465822527773488,0.31723750931433337
1900,119.95623976301682,15.83910935982657,0.06264151646288406,0.06313486303316675,0.2512665179309944,0.16523301414797054,0.6576006047624247,0.008336373347277142,0.17733768344561796
1950,122.45585734930155,15.92410556922308,0.062317012493228095,0.06279787556374439,0.2505950429752041,0.16245495110875618,0.648276794225458,0.008166207984216965,0.08499620939650931
2000,124.1598555526067,16.108266162991768,0.06161073314287479,0.06207992777630335,0.24915843910312038,0.159778471308384,0.6412725648929584,0.008054133081495884,0.18416059376868787
2050,127.10781542498609,16.12804053901648,0.061546029978031276,0.06200381240243224,0.2490056473304014,0.15720046042743907,0.6313128321095964,0.007867336848300722,0.019774376024713547
2100,129.75638310694862,16.184174910833672,0.06134177375271492,0.061788753860451726,0.24857343756011366,0.15471343868848353,0.622405355162168,0.007706749957539844,0.0561343718171905
2150,132.33592202294815,16.246533572548593,0.061114900894810684,0.06155159163858054,0.24809593232977548,0.15231379796434724,0.6139310569666568,0.007556527243045857,0.06235866171492077
2200,136.27849771963096,16.14341247381603,0.061518189049400165,0.06194477169074135,0.24888706613791997,0.14999489502925384,0.6026624740159645,0.007337914760825469,-0.10312109873256148
2250,138.82902559244337,16.206985465743053,0.0612845822998859,0.061701789152197054,0.2483984483691415,0.14775360708822616,0.5948250001491618,0.007203104651441357,0.06357299192702115
2300,142.0709779648873,16.18909106523109,0.06136188689207799,0.06176999041951622,0.2485356924458059,0.14558442068770763,0.5857686646735975,0.007038735245752647,-0.017894400511963227
2350,144.42438582573945,16.271490348143,0.0610576355154276,0.061457185457761465,0.24790559787500052,0.1434814799168908,0.5787746672394116,0.006924038446018297,0.08239928291191134
2400,146.75531172213414,16.3537521867975,0.06075669517387834,0.06114804655088923,0.24728131055720573,0.1414431029270978,0.5719926936992537,0.006814063411165625,0.08226183865449954
2450,148.37319874785538,16.512416128222164,0.06017688801464082,0.06056048928483893,0.24609040876238744,0.13946700521717165,0.566730763374992,0.006739761684988639,0.15866394142466334
