stock1,stock2,hedge_ratio,z_score,half_life,signal
ACGL,PGR,0.0391242897991313,2.0920108711015204,5.910586149156369,SELL
ELV,NDAQ,-5.152697506341849,2.086183625050361,6.909943462655487,SELL
LHX,HOOD,0.9005735875456597,2.0849176650263685,5.578581187488223,SELL
HWM,NRG,0.9896668012947244,2.0833462406878476,6.3470740898435185,SELL
NEM,TPL,-0.0693974545715242,-2.0804262426691986,7.110883228263477,BUY
ACGL,MMC,0.0383096314806233,2.076805391207872,5.7818119936072065,SELL
FSLR,MAA,-3.60164019830751,2.0729881692109875,5.791451253878114,SELL
ACGL,NVDA,-0.0271740990241941,2.069626347729504,5.094125613709833,SELL
MRK,SNA,0.4164539935125829,2.0691179671207798,9.00792121086475,SELL
ACGL,TPR,-0.029346796065298,2.068715701100138,5.2374074105060355,SELL
MU,PAYX,-3.794006781650842,2.0676826480980814,7.611781985049265,SELL
ACGL,TPL,0.0013613628756494,2.064959952840606,5.572045020275429,SELL
AIZ,VRSK,-0.3081563064913695,2.0644439152081575,6.882124781625185,SELL
ACGL,IBKR,0.0134438407809495,2.0512875377427764,4.958717487201395,SELL
EXPE,LVS,3.498470165228556,2.0466326302704365,9.249235247089818,SELL
KMB,NEE,-1.6579944402416935,-2.042065420418919,8.715586197983688,BUY
CPT,HII,-0.1035255417132284,2.038744429830951,7.420127904890463,SELL
TJX,UDR,-3.157079960597654,2.0312567684060934,6.5340655311685305,SELL
KLAC,MAA,-14.986821018624704,2.0300717343542645,7.2811776219700635,SELL
ACGL,CAG,0.2035648587039621,2.026948264152046,5.312503608364732,SELL
BEN,NDAQ,0.2804049992171246,-2.024913333897326,5.873340062411926,BUY
D,STT,0.1857293529669677,-2.022222954254286,6.058784484543023,BUY
BRO,D,-3.576993937052118,-2.020836533655824,7.0286300427123445,BUY
PG,UDR,2.5008095052365618,-2.0179790183929223,6.3893947043365715,BUY
HST,USB,0.3202419203878668,-2.0178263924860285,4.65409353123195,BUY
O,TTWO,0.0634066583439738,-2.016092549284431,4.733138909635294,BUY
NDAQ,TPL,-0.0258045564080333,-2.0118900932647366,6.443368153346478,BUY
ACGL,MOH,0.0112481656838608,2.0115706517105876,5.227139777118021,SELL
BK,AVGO,0.1719954004387848,2.006009183404347,7.374212936917132,SELL
PSA,WDAY,0.5760527076266216,-2.0036882600723014,5.122872480962582,BUY
